,Crypto name,Price,Cap
0,Bitcoin USD,70135.27,1.387T
1,Ethereum USD,2520.11,303.444B
2,Tether USDt USD,0.999067,120.46B
3,BNB USD,579.03,83.438B
4,Solana USD,168.2,79.174B
5,USD Coin USD,1.0,34.733B
6,XRP USD,0.517747,29.444B
7,Lido Staked ETH USD,2517.21,24.562B
8,Dogecoin USD,0.16222,23.783B
9,Wrapped TRON USD,0.167596,14.652B
10,TRON USD,0.167436,14.477B
11,Toncoin USD,4.8914,12.444B
12,Cardano USD,0.349225,12.221B
13,Lido wstETH USD,2978.42,11.148B
14,Shiba Inu USD,1.8e-05,10.348B
15,Wrapped Bitcoin USD,69971.06,10.286B
16,Avalanche USD,25.2,10.258B
17,WETH USD,2517.37,8.497B
18,Chainlink USD,11.36,7.122B
19,Bitcoin Cash USD,351.78,6.959B
20,Polkadot USD,3.9326,5.949B
21,UNUS SED LEO USD,6.0529,5.599B
22,Sui USD,1.9555,5.565B
23,USDS USD,0.997092,5.549B
24,Dai USD,0.999638,5.363B
